id	parent	user	user_role	time	last_time	text	reply_count	is_deleted	deleted_by	deleted_at	can_edit	can_moderate	can_delete	actions	target	replies	subscriptions	is_pinned	pinned_by	pinned_at	is_staff_replied	is_reported	attachments	thread	submission	edited_by	edited_at	epic_count	abuse_count	vote	translations
740942	None	62646551	student	2018-10-28T12:15:09Z	2018-10-28T15:02:32Z	<p>#include &lt;iostream&gt;<br>int main() {<br>  int a, v;<br>    std::cin &gt;&gt; a &gt;&gt; v;<br>    std::cout &lt;&lt; (a * v + 1090) % 109 ;<br>  return 0;<br>} <br></p><p><br></p>	1	False	None	None	False	False	False	{'vote': True}	37997	[741179]	['31-31-740942']	False	None	None	False	False	[]	default	None	None	None	0	2	31-740942	{'text': {'ru': '<Р>\n\n#include & lt; iostream & gt; <br> int main () {<br> int a, v; <br> std :: cin & gt; & gt; & gt; & gt; & gt; v; <br> std :: cout & lt; (a * v + 1090)% 109; <br> return 0; <br>}\n\n<br> </ p> <p> <br> </ p>'}}
740915	None	62646551	student	2018-10-28T11:56:01Z	2018-10-28T11:56:01Z	<p>#include &lt;iostream&gt;<br>using namespace std;<br>int main() {<br>  int a,b,c,d,e,f,g,h,i,j;<br>  cin &gt;&gt;a &gt;&gt;b &gt;&gt;c &gt;&gt;d &gt;&gt;e &gt;&gt;f;<br>  g = (d - a) * 3600;<br>  h = (e - b) * 60;<br>  i = (f - c);<br>  j = g + h + i;<br>  cout &lt;&lt;j;<br>  return 0;<br>} <br></p><p><br></p>	0	False	None	None	False	False	False	{'vote': True}	37994	[]	['31-31-740915']	False	None	None	False	False	[]	default	None	None	None	0	2	31-740915	{'text': {'ru': '<Р>\n\n#include & lt; iostream & gt; <br> using namespace std; <br> int main () {<br> int a, b, c, d, e, f, g, h, i, j; <br> cin & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; g = (d-a) * 3600; & hairsp; h = (e - b) * 60; <br> i = (f - c); <br> j = g + h + i; <br> cout & lt; j; <br> return 0; <br>}\n\n<br> </ p> <p> <br> </ p>'}}
740368	None	62843436	student	2018-10-27T18:25:05Z	2018-10-28T13:16:14Z	<p>#include &lt;iostream&gt;<br>using namespace std;<br>int main() {<br>  int a,b,c,d,e,f,z,h,y;<br>   cin&gt;&gt;a&gt;&gt;b&gt;&gt;c&gt;&gt;d&gt;&gt;e&gt;&gt;f;<br>    z=(d-a)*60*60;<br>    h=(e-b)*60;<br>    y=f-c;<br>    cout&lt;&lt;z+h+y;<br>    return 0;<br>}<br></p>	4	False	None	None	False	False	False	{'vote': True}	37994	[740370, 740454, 740647, 741046]	['31-31-740368']	False	None	None	False	False	[]	default	None	None	None	0	2	31-740368	{'text': {'ru': '<p> #include & lt; iostream & gt; <br> с использованием пространства имен std; <br> int main () {<br> int a, b, c, d, e, f, z, h, y; <br> cin & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; z = (da) * 60 * 60; & hairsp; h = (eb) & gt; 60; & lt; br> y = fc; <br> cout & lt; z + h + y; <br> return 0; <br>} <br> </ p>'}}
739728	None	62480229	student	2018-10-27T07:01:52Z	2018-10-27T07:01:52Z	<p><br>#include &lt;iostream&gt;<br>using namespace std;<br>int main() {<br>    int a,b,c;<br>    cin &gt;&gt; a &gt;&gt; b &gt;&gt; c;<br>    if (a == b &amp;&amp; a == c &amp;&amp; a == c )<br>    {<br>        cout &lt;&lt; 3 ;<br>    }<br>      else if ( a == b &amp;&amp; a != c &amp;&amp; b != c || a != b &amp;&amp; a != c &amp;&amp; b == c || a!=b &amp;&amp; a == c &amp;&amp; b!=c )<br>      {<br>      cout &lt;&lt; 2 ;<br>    }<br>      else if ( a!= b &amp;&amp; a!=c &amp;&amp; b!=c )<br>{<br>        cout &lt;&lt; 0 ;<br>}<br> return 0 ;<br>}<br><br></p>	0	False	None	None	False	False	False	{'vote': True}	38321	[]	['31-31-739728']	False	None	None	False	False	[]	default	None	None	None	0	2	31-739728	{'text': {'ru': '<p> <br> #include & lt; iostream & gt; <br> с использованием пространства имен std; <br> int main () {<br> int a, b, c; <br> cin & gt; & gt; & gt; & gt; & gt; & gt; & gt; & gt; c; <br> if (a == b & amp; a == c & amp; a == c) <br> {cout & lt; 3; <br>} <br> else if (a == b & amp; a! = C & amp; b! = C || a! = B & amp; a! = C & amp; & amp; & amp; b == c || a! = b & amp; a == c & amp; b! = c) <br> {cout & lt; & lt; 2; <br>} <br> else if (a! = B & amp; & amp; a! = C & amp; b! = C) <br> {cout & lt; 0; <br>} <br> return 0; <br>} <br> <br> </ p>'}}
739714	None	62480229	student	2018-10-27T06:46:51Z	2018-10-27T06:49:18Z	<p>#include &lt;iostream&gt;<br>using namespace std;<br>int main() {<br>int A, B, C;<br>cin &gt;&gt; A &gt;&gt; B &gt;&gt; C;<br>if ( A &gt;= B &amp;&amp; A &gt;= C) {<br>  cout &lt;&lt; A;<br>} else if (B &gt;= A &amp;&amp; B &gt;= C) {<br>  cout &lt;&lt; B;<br>} else if (C &gt;= A &amp;&amp; C&gt;= B) {<br>  cout &lt;&lt; C;<br>}<br>  return 0;<br>}<br></p>	1	False	None	None	False	False	False	{'vote': True}	38319	[739717]	['31-31-739714']	False	None	None	False	False	[]	default	None	None	None	0	2	31-739714	{'text': {'ru': '<p> #include & lt; iostream & gt; <br> с использованием пространства имен std; <br> int main () {<br> int A, B, C; <br> cin & gt; & gt; & Gt; & gt; & gt; B & gt; & gt; C; & gt; if (A & gt; = B & amp; & gt; A & gt; = C) {cout & lt; A; <br>} else if (B & gt; = A & amp; & gt; B & gt; = C) {cout & lt; B;}} else, если (C & gt; = A & amp; & gt; C & gt; = B) {cout & lt; C; <br>} <br> return 0; <br>} <br> </ p>'}}
736557	None	35768942	student	2018-10-24T11:02:53Z	2018-10-24T11:12:30Z	<p>крутой курс! всем советую! (ставьте лайки на комент плз)</p>	1	False	None	None	False	False	False	{'vote': True}	495596	[736563]	['31-31-736557']	False	None	None	False	False	[]	default	None	None	None	1	3	31-736557	{}
734769	None	63612384	student	2018-10-22T19:07:22Z	2018-10-23T12:11:46Z	<p>финансовые ресурсы на проект</p>	1	False	None	None	False	False	False	{'vote': True}	274664	[735478]	['31-31-734769']	False	None	None	False	False	[]	default	None	None	None	0	2	31-734769	{}
730656	None	60930200	student	2018-10-19T05:25:45Z	2018-10-19T05:34:23Z	<p>Какой ответ блин(</p><p>Арсений не мишай)</p><p><br></p>	1	False	None	None	False	False	False	{'vote': True}	39941	[730660]	['31-31-730656']	False	None	None	False	False	[]	default	None	60930200	2018-10-19T05:30:08.881Z	0	2	31-730656	{}
729572	None	40736192	student	2018-10-18T08:24:47Z	2018-10-18T08:24:47Z	<p>не подумал про генератор, сделал функционально :/<br></p>	0	False	None	None	False	False	False	{'vote': True}	13536	[]	['31-31-729572']	False	None	None	False	False	[]	solutions	72346212	None	None	0	2	31-729572	{}
724084	None	43974955	student	2018-10-13T12:32:37Z	2018-10-13T12:32:37Z	"<p>#include &lt;iostream&gt;<br>using namespace std;<br>int main() {<br>  int a,b,c;<br>    cin &gt;&gt; a &gt;&gt; b &gt;&gt;c;<br>    if ( (a+b) &gt; c &amp;&amp; (a+c)&gt;b &amp;&amp; (b+c)&gt;a)<br>    {<br>        cout &lt;&lt; "" YES"";<br>           <br>    }<br>    else <br>    { <br>        cout &lt;&lt; ""NO"";<br>    }<br>     <br>  return 0;<br>}<br></p>"	0	False	None	None	False	False	False	{'vote': True}	38320	[]	['31-31-724084']	False	None	None	False	False	[]	default	None	None	None	0	2	31-724084	{'text': {'ru': '<p> #include & lt; iostream & gt; <br> с использованием пространства имен std; <br> int main () {<br> int a, b, c; <br> cin & gt; & gt; & gt; & gt; & gt; b & gt; c; & lt; (a + b) & gt; c & amp; & amp; (a + c) & gt; b & amp; & amp; (b + c) & gt; a) br> cout & lt; «YES», <br> <br> <br> <br> <br> <br> {cout & lt; «НЕТ», <br> <br> <br> <br> <br> 0, <br>} <br> </ p>'}}
